,順位,コード,市場,名称,取引値,取引値.1,平均年収（千円）,設立年月日,従業員数（単独）,掲示板
0,1,8771,東証1部,イー・ギャランティ(株),06/04,2280,24130,2000/09/08,144,掲示板
1,2,6080,東証1部,Ｍ＆Ａキャピタルパートナーズ(株),06/04,4685,22690,2005/10/12,125,掲示板
2,3,6861,東証1部,(株)キーエンス,06/04,54300,18390,1974/05/27,2511,掲示板
3,4,3003,東証1部,ヒューリック(株),06/04,1261,17080,1931/03/30,184,掲示板
4,5,8058,東証1部,三菱商事(株),06/04,3076,16310,1950/04/01,5882,掲示板
5,6,9401,東証1部,(株)ＴＢＳホールディングス,06/04,1850,16220,1951/05/17,110,掲示板
6,7,8001,東証1部,伊藤忠商事(株),06/04,3320,15650,1949/12/01,4227,掲示板
7,8,3252,東証1部,日本商業開発(株),06/04,1860,15580,2000/04/07,43,掲示板
8,9,9684,東証1部,(株)スクウェア・エニックス・ホールディングス,06/04,5640,14870,1980/02/05,20,掲示板
9,10,8002,東証1部,丸紅(株),06/04,1014.5,14520,1949/12/01,4405,掲示板
10,11,8053,東証1部,住友商事(株),06/04,1570,14370,1919/12/24,5207,掲示板
11,12,9404,東証1部,日本テレビホールディングス(株),06/04,1337,14010,1952/10/28,201,掲示板
12,13,8031,東証1部,三井物産(株),06/04,2551.5,13930,1947/07/25,5676,掲示板
13,14,9984,東証1部,ソフトバンクグループ(株),06/04,8102,13890,1981/09/03,224,掲示板
14,15,9409,東証1部,(株)テレビ朝日ホールディングス,06/04,1907,13820,1957/11/01,1256,掲示板
15,16,6196,東証1部,(株)ストライク,06/04,4040,13570,1997/07/11,144,掲示板
16,17,2127,東証1部,(株)日本Ｍ＆Ａセンター,06/04,2598,13530,1991/04/25,613,掲示板
17,18,9413,東証1部,(株)テレビ東京ホールディングス,06/04,2181,13240,2010/10/01,123,掲示板
18,19,6920,東証1部,レーザーテック(株),06/04,23220,13100,1962/08/13,312,掲示板
19,20,8801,東証1部,三井不動産(株),06/04,2677,12730,1941/07/15,1678,掲示板
20,21,8802,東証1部,三菱地所(株),06/04,1838.5,12730,1937/05/07,947,掲示板
21,22,7190,東証1部,(株)マーキュリアインベストメント,06/04,751,12640,2005/10/05,46,掲示板
22,23,4282,東証1部,ＥＰＳホールディングス(株),06/04,1799,12530,1991/05/30,59,掲示板
23,24,4307,東証1部,(株)野村総合研究所,06/04,3430,12350,1966/01/05,6549,掲示板
24,25,9405,東証1部,朝日放送グループホールディングス(株),06/04,715,12290,1951/03/15,68,掲示板
25,26,9412,東証1部,(株)スカパーＪＳＡＴホールディングス,06/04,426,12290,2007/04/02,27,掲示板
26,27,6035,東証1部,(株)アイ・アールジャパンホールディングス,06/04,12900,12250,2015/02/02,7,掲示板
27,28,6954,東証1部,ファナック(株),06/04,25800,12160,1972/05/12,4018,掲示板
28,29,8309,東証1部,三井住友トラスト・ホールディングス(株),06/04,3760,12010,2002/02/01,176,掲示板
29,30,5938,東証1部,(株)ＬＩＸＩＬ,06/04,2874,11960,1949/09/19,15046,掲示板
30,31,8944,東証1部,(株)ランドビジネス,06/04,375,11720,1985/02/13,27,掲示板
31,32,4188,東証1部,(株)三菱ケミカルホールディングス,06/04,917.1,11650,2005/10/03,191,掲示板
32,33,7327,東証1部,(株)第四北越フィナンシャルグループ,06/04,2415,11650,2018/10/01,6,掲示板
33,34,7167,東証1部,(株)めぶきフィナンシャルグループ,06/04,238,11570,2008/04/01,18,掲示板
34,35,2768,東証1部,双日(株),06/04,353,11540,2003/04/01,2590,掲示板
35,36,6088,東証1部,(株)シグマクシス,06/04,2151,11520,2008/05/09,555,掲示板
36,37,4565,マザーズ,そーせいグループ(株),06/04,1562,11510,1990/06/22,23,掲示板
37,38,8035,東証1部,東京エレクトロン(株),06/04,48450,11490,1963/11/11,1668,掲示板
38,39,4686,東証1部,(株)ジャストシステム,06/04,5710,11450,1981/06/02,333,掲示板
39,40,3289,東証1部,東急不動産ホールディングス(株),06/04,690,11370,2013/10/01,67,掲示板
40,41,1812,東証1部,鹿島,06/04,1495,11340,1930/02/22,8038,掲示板
41,42,4582,東証JQG,シンバイオ製薬(株),06/04,1960,11300,2005/03/25,127,掲示板
42,43,5020,東証1部,ＥＮＥＯＳホールディングス(株),06/04,474.5,11290,2010/04/01,16,掲示板
43,44,4568,東証1部,第一三共(株),06/04,2441,11260,2005/09/28,-,掲示板
44,45,2587,東証1部,サントリー食品インターナショナル(株),06/04,4325,11180,2009/01/23,523,掲示板
45,46,8630,東証1部,ＳＯＭＰＯホールディングス(株),06/04,4399,11060,2010/04/01,377,掲示板
46,47,4689,東証1部,Ｚホールディングス(株),06/04,500,11050,1996/01/31,63,掲示板
47,48,8015,東証1部,豊田通商(株),06/04,5080,11000,1948/07/01,2751,掲示板
48,49,5411,東証1部,ジェイ　エフ　イー　ホールディングス(株),06/04,1444,10960,2002/09/27,45,掲示板
49,50,4502,東証1部,武田薬品工業(株),06/04,3672,10910,1925/01/29,5350,掲示板
50,順位,コード,市場,名称,取引値,取引値,平均年収（千円）,設立年月日,従業員数（単独）,掲示板
